Sprite, Number, Name, Type(s), HP, Atk, Def, SpA, SpD, Spe, Ability/Abilities, Color
<img src = "http://www.serebii.net/blackwhite/pokemon/049.png">,#049,Venomoth,Bug/Poison,70,65,60,90,75,90,Shield-dust : Blocks the added effects of attacks taken./Tinted-lens : Powers up not very effective moves./Wonder-skin : Makes status-changing moves more likely to miss.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/050.png">,#050,Diglett,Ground,10,55,25,35,45,95,Sand-veil : Boosts the Pokemon's evasion in a sandstorm./Arena-trap : Prevents the foe from fleeing./Sand-force : Boosts certain moves' power in a sandstorm.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/051.png">,#051,Dugtrio,Ground,35,80,50,50,70,120,Sand-veil : Boosts the Pokemon's evasion in a sandstorm./Arena-trap : Prevents the foe from fleeing./Sand-force : Boosts certain moves' power in a sandstorm.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/052.png">,#052,Meowth,Normal,40,45,35,40,40,90,Pickup : The Pokemon may pick up items./Technician : Powers up the Pokemon's weaker moves./Unnerve : Makes the foe nervous and unable to eat Berries.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/053.png">,#053,Persian,Normal,65,70,60,65,65,115,Limber : The Pokemon is protected from paralysis./Technician : Powers up the Pokemon's weaker moves./Unnerve : Makes the foe nervous and unable to eat Berries.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/054.png">,#054,Psyduck,Water,50,52,48,65,50,55,Damp : Prevents the use of self-destructing moves./Cloud-nine : Eliminates the effects of weather./Swift-swim : Boosts the Pokemon's Speed in rain.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/055.png">,#055,Golduck,Water,80,82,78,95,80,85,Damp : Prevents the use of self-destructing moves./Cloud-nine : Eliminates the effects of weather./Swift-swim : Boosts the Pokemon's Speed in rain.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/056.png">,#056,Mankey,Fighting,40,80,35,35,45,70,Vital-spirit : Prevents the Pokemon from falling asleep./Anger-point : Maxes Attack after taking a critical hit./Defiant : When its stats are lowered its Attack increases.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/057.png">,#057,Primeape,Fighting,65,105,60,60,70,95,Vital-spirit : Prevents the Pokemon from falling asleep./Anger-point : Maxes Attack after taking a critical hit./Defiant : When its stats are lowered its Attack increases.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/058.png">,#058,Growlithe,Fire,55,70,45,70,50,60,Intimidate : Lowers the foe's Attack stat./Flash-fire : It powers up Fire-type moves if it's hit by one./Justified : Raises Attack when hit by a Dark-type move.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/059.png">,#059,Arcanine,Fire,90,110,80,100,80,95,Intimidate : Lowers the foe's Attack stat./Flash-fire : It powers up Fire-type moves if it's hit by one./Justified : Raises Attack when hit by a Dark-type move.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/060.png">,#060,Poliwag,Water,40,50,40,40,40,90,Water-absorb : Restores HP if hit by a Water-type move./Damp : Prevents the use of self-destructing moves./Swift-swim : Boosts the Pokemon's Speed in rain.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/061.png">,#061,Poliwhirl,Water,65,65,65,50,50,90,Water-absorb : Restores HP if hit by a Water-type move./Damp : Prevents the use of self-destructing moves./Swift-swim : Boosts the Pokemon's Speed in rain.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/062.png">,#062,Poliwrath,Water/Fighting,90,85,95,70,90,70,Water-absorb : Restores HP if hit by a Water-type move./Damp : Prevents the use of self-destructing moves./Swift-swim : Boosts the Pokemon's Speed in rain.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/063.png">,#063,Abra,Psychic,25,20,15,105,55,90,Synchronize : Passes a burn./Inner-focus : The Pokemon is protected from flinching./Magic-guard : The Pokemon only takes damage from attacks.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/064.png">,#064,Kadabra,Psychic,40,35,30,120,70,105,Synchronize : Passes a burn./Inner-focus : The Pokemon is protected from flinching./Magic-guard : The Pokemon only takes damage from attacks.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/065.png">,#065,Alakazam,Psychic,55,50,45,135,85,120,Synchronize : Passes a burn./Inner-focus : The Pokemon is protected from flinching./Magic-guard : The Pokemon only takes damage from attacks.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/066.png">,#066,Machop,Fighting,70,80,50,35,35,35,Guts : Boosts Attack if there is a status problem./No-guard : Ensures attacks by or against the Pokemon land./Steadfast : Raises Speed each time the Pokemon flinches.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/067.png">,#067,Machoke,Fighting,80,100,70,50,60,45,Guts : Boosts Attack if there is a status problem./No-guard : Ensures attacks by or against the Pokemon land./Steadfast : Raises Speed each time the Pokemon flinches.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/068.png">,#068,Machamp,Fighting,90,130,80,65,85,55,Guts : Boosts Attack if there is a status problem./No-guard : Ensures attacks by or against the Pokemon land./Steadfast : Raises Speed each time the Pokemon flinches.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/069.png">,#069,Bellsprout,Grass/Poison,50,75,35,70,30,40,Chlorophyll : Boosts the Pokemon's Speed in sunshine./Gluttony : Encourages the early use of a held Berry.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/070.png">,#070,Weepinbell,Grass/Poison,65,90,50,85,45,55,Chlorophyll : Boosts the Pokemon's Speed in sunshine./Gluttony : Encourages the early use of a held Berry.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/071.png">,#071,Victreebel,Grass/Poison,80,105,65,100,60,70,Chlorophyll : Boosts the Pokemon's Speed in sunshine./Gluttony : Encourages the early use of a held Berry.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/072.png">,#072,Tentacool,Water/Poison,40,40,35,50,100,70,Clear-body : Prevents other Pokemon from lowering its stats./Liquid-ooze : Damages attackers using any draining move./Rain-dish : The Pokemon gradually regains HP in rain.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/073.png">,#073,Tentacruel,Water/Poison,80,70,65,80,120,100,Clear-body : Prevents other Pokemon from lowering its stats./Liquid-ooze : Damages attackers using any draining move./Rain-dish : The Pokemon gradually regains HP in rain.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/074.png">,#074,Geodude,Rock/Ground,40,80,100,30,30,20,Rock-head : Protects the Pokemon from recoil damage./Sturdy : It cannot be knocked out with one hit./Sand-veil : Boosts the Pokemon's evasion in a sandstorm.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/075.png">,#075,Graveler,Rock/Ground,55,95,115,45,45,35,Rock-head : Protects the Pokemon from recoil damage./Sturdy : It cannot be knocked out with one hit./Sand-veil : Boosts the Pokemon's evasion in a sandstorm.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/076.png">,#076,Golem,Rock/Ground,80,110,130,55,65,45,Rock-head : Protects the Pokemon from recoil damage./Sturdy : It cannot be knocked out with one hit./Sand-veil : Boosts the Pokemon's evasion in a sandstorm.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/077.png">,#077,Ponyta,Fire,50,85,55,65,65,90,Run-away : Enables a sure getaway from wild Pokemon./Flash-fire : It powers up Fire-type moves if it's hit by one./Flame-body : Contact with the Pokemon may burn the attacker.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/078.png">,#078,Rapidash,Fire,65,100,70,80,80,105,Run-away : Enables a sure getaway from wild Pokemon./Flash-fire : It powers up Fire-type moves if it's hit by one./Flame-body : Contact with the Pokemon may burn the attacker.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/079.png">,#079,Slowpoke,Water/Psychic,90,65,65,40,40,15,Oblivious : Prevents it from becoming infatuated./Own-tempo : Prevents the Pokemon from becoming confused./Regenerator : Restores a little HP when withdrawn from battle.,Pink
<img src = "http://www.serebii.net/blackwhite/pokemon/080.png">,#080,Slowbro,Water/Psychic,95,75,110,100,80,30,Oblivious : Prevents it from becoming infatuated./Own-tempo : Prevents the Pokemon from becoming confused./Regenerator : Restores a little HP when withdrawn from battle.,Pink
<img src = "http://www.serebii.net/blackwhite/pokemon/081.png">,#081,Magnemite,Electric/Steel,25,35,70,95,55,45,Magnet-pull : Prevents Steel-type Pokemon from escaping./Sturdy : It cannot be knocked out with one hit./Analytic : Boosts move power when the Pokemon moves last.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/082.png">,#082,Magneton,Electric/Steel,50,60,95,120,70,70,Magnet-pull : Prevents Steel-type Pokemon from escaping./Sturdy : It cannot be knocked out with one hit./Analytic : Boosts move power when the Pokemon moves last.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/083.png">,#083,Farfetchd,Normal/Flying,52,65,55,58,62,60,Keen-eye : Prevents other Pokemon from lowering accuracy./Inner-focus : The Pokemon is protected from flinching./Defiant : When its stats are lowered its Attack increases.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/084.png">,#084,Doduo,Normal/Flying,35,85,45,35,35,75,Run-away : Enables a sure getaway from wild Pokemon./Early-bird : The Pokemon awakens quickly from sleep./Tangled-feet : Raises evasion if the Pokemon is confused.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/085.png">,#085,Dodrio,Normal/Flying,60,110,70,60,60,100,Run-away : Enables a sure getaway from wild Pokemon./Early-bird : The Pokemon awakens quickly from sleep./Tangled-feet : Raises evasion if the Pokemon is confused.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/086.png">,#086,Seel,Water,65,45,55,45,70,45,Thick-fat : Ups resistance to Fire- and Ice-type moves./Hydration : Heals status problems if it is raining./Ice-body : The Pokemon gradually regains HP in a hailstorm.,White
<img src = "http://www.serebii.net/blackwhite/pokemon/087.png">,#087,Dewgong,Water/Ice,90,70,80,70,95,70,Thick-fat : Ups resistance to Fire- and Ice-type moves./Hydration : Heals status problems if it is raining./Ice-body : The Pokemon gradually regains HP in a hailstorm.,White
<img src = "http://www.serebii.net/blackwhite/pokemon/088.png">,#088,Grimer,Poison,80,80,50,40,50,25,Stench : The stench may cause the target to flinch./Sticky-hold : Protects the Pokemon from item theft./Poison-touch : May poison targets when a Pokemon makes contact.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/089.png">,#089,Muk,Poison,105,105,75,65,100,50,Stench : The stench may cause the target to flinch./Sticky-hold : Protects the Pokemon from item theft./Poison-touch : May poison targets when a Pokemon makes contact.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/090.png">,#090,Shellder,Water,30,65,100,45,25,40,Shell-armor : The Pokemon is protected against critical hits./Skill-link : Increases the frequency of multi-strike moves./Overcoat : Protects the Pokemon from damage from weather.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/091.png">,#091,Cloyster,Water/Ice,50,95,180,85,45,70,Shell-armor : The Pokemon is protected against critical hits./Skill-link : Increases the frequency of multi-strike moves./Overcoat : Protects the Pokemon from damage from weather.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/092.png">,#092,Gastly,Ghost/Poison,30,35,30,100,35,80,Levitate : Gives full immunity to all Ground-type moves.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/093.png">,#093,Haunter,Ghost/Poison,45,50,45,115,55,95,Levitate : Gives full immunity to all Ground-type moves.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/094.png">,#094,Gengar,Ghost/Poison,60,65,60,130,75,110,Levitate : Gives full immunity to all Ground-type moves.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/095.png">,#095,Onix,Rock/Ground,35,45,160,30,45,70,Rock-head : Protects the Pokemon from recoil damage./Sturdy : It cannot be knocked out with one hit./Weak-armor : Physical attacks lower Defense and raise Speed.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/096.png">,#096,Drowzee,Psychic,60,48,45,43,90,42,Insomnia : Prevents the Pokemon from falling asleep./Forewarn : Determines what moves a foe has./Inner-focus : The Pokemon is protected from flinching.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/097.png">,#097,Hypno,Psychic,85,73,70,73,115,67,Insomnia : Prevents the Pokemon from falling asleep./Forewarn : Determines what moves a foe has./Inner-focus : The Pokemon is protected from flinching.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/098.png">,#098,Krabby,Water,30,105,90,25,25,50,Hyper-cutter : Prevents other Pokemon from lowering Attack stat./Shell-armor : The Pokemon is protected against critical hits./Sheer-force : Removes added effects to increase move damage.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/099.png">,#099,Kingler,Water,55,130,115,50,50,75,Hyper-cutter : Prevents other Pokemon from lowering Attack stat./Shell-armor : The Pokemon is protected against critical hits./Sheer-force : Removes added effects to increase move damage.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/100.png">,#100,Voltorb,Electric,40,30,50,55,55,100,Soundproof : Gives full immunity to all sound-based moves./Static : Contact with the Pokemon may cause paralysis./Aftermath : Damages the attacker landing the finishing hit.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/101.png">,#101,Electrode,Electric,60,50,70,80,80,140,Soundproof : Gives full immunity to all sound-based moves./Static : Contact with the Pokemon may cause paralysis./Aftermath : Damages the attacker landing the finishing hit.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/102.png">,#102,Exeggcute,Grass/Psychic,60,40,80,60,45,40,Chlorophyll : Boosts the Pokemon's Speed in sunshine./Harvest : May create another Berry after one is used.,Pink
<img src = "http://www.serebii.net/blackwhite/pokemon/103.png">,#103,Exeggutor,Grass/Psychic,95,95,85,125,65,55,Chlorophyll : Boosts the Pokemon's Speed in sunshine./Harvest : May create another Berry after one is used.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/104.png">,#104,Cubone,Ground,50,50,95,40,50,35,Rock-head : Protects the Pokemon from recoil damage./Lightningrod : Draws in all Electric-type moves to up Sp. Attack./Battle-armor : The Pokemon is protected against critical hits.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/105.png">,#105,Marowak,Ground,60,80,110,50,80,45,Rock-head : Protects the Pokemon from recoil damage./Lightningrod : Draws in all Electric-type moves to up Sp. Attack./Battle-armor : The Pokemon is protected against critical hits.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/106.png">,#106,Hitmonlee,Fighting,50,120,53,35,110,87,Limber : The Pokemon is protected from paralysis./Reckless : Powers up moves that have recoil damage./Unburden : Raises Speed if a held item is used.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/107.png">,#107,Hitmonchan,Fighting,50,105,79,35,110,76,Keen-eye : Prevents other Pokemon from lowering accuracy./Iron-fist : Boosts the power of punching moves./Inner-focus : The Pokemon is protected from flinching.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/108.png">,#108,Lickitung,Normal,90,55,75,60,75,30,Own-tempo : Prevents the Pokemon from becoming confused./Oblivious : Prevents it from becoming infatuated./Cloud-nine : Eliminates the effects of weather.,Pink
<img src = "http://www.serebii.net/blackwhite/pokemon/109.png">,#109,Koffing,Poison,40,65,95,60,45,35,Levitate : Gives full immunity to all Ground-type moves.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/110.png">,#110,Weezing,Poison,65,90,120,85,70,60,Levitate : Gives full immunity to all Ground-type moves.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/111.png">,#111,Rhyhorn,Ground/Rock,80,85,95,30,30,25,Lightningrod : Draws in all Electric-type moves to up Sp. Attack./Rock-head : Protects the Pokemon from recoil damage./Reckless : Powers up moves that have recoil damage.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/112.png">,#112,Rhydon,Ground/Rock,105,130,120,45,45,40,Lightningrod : Draws in all Electric-type moves to up Sp. Attack./Rock-head : Protects the Pokemon from recoil damage./Reckless : Powers up moves that have recoil damage.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/113.png">,#113,Chansey,Normal,250,5,5,35,105,50,Natural-cure : All status problems heal when it switches out./Serene-grace : Boosts the likelihood of added effects appearing./Healer : May heal an ally's status conditions.,Pink
<img src = "http://www.serebii.net/blackwhite/pokemon/114.png">,#114,Tangela,Grass,65,55,115,100,40,60,Chlorophyll : Boosts the Pokemon's Speed in sunshine./Leaf-guard : Prevents problems with status in sunny weather./Regenerator : Restores a little HP when withdrawn from battle.,Blue
